date,station,lat,lon,temperature,Humidité,wind,rain
2026-01-01 00:00:00+00:00,BOULOGNE-SEM,50.7325,1.599667,3.900000000000034,81.0,6.5,0.0
2026-01-01 00:00:00+00:00,LE-TOUQUET,50.5145,1.622833,5.2000000000000455,72.0,4.6,0.0
2026-01-01 00:00:00+00:00,ABBEVILLE,50.136,1.834,2.7000000000000455,89.0,1.3,0.0
2026-01-01 00:00:00+00:00,LILLE-LESQUIN,50.57,3.0975,0.6000000000000227,92.0,3.7,0.0
2026-01-01 00:00:00+00:00,PTE DE LA HAGUE,49.725167,-1.939833,6.900000000000034,69.0,4.5,0.0
2026-01-01 00:00:00+00:00,GONNEVILLE,49.652667,-1.4635,1.400000000000034,88.0,3.9,0.0
2026-01-01 00:00:00+00:00,CAEN-CARPIQUET,49.18,-0.456167,0.5,94.0,3.7,0.0
2026-01-01 00:00:00+00:00,ST GATIEN DES B,49.3645,0.167,2.1000000000000227,87.0,3.6,0.0
2026-01-01 00:00:00+00:00,ROUEN-BOOS,49.3895,1.178333,0.4000000000000341,96.0,1.5,0.0
2026-01-01 00:00:00+00:00,EVREUX-HUEST,49.025,1.221667,-3.3999999999999773,97.0,2.5,0.0
2026-01-01 00:00:00+00:00,DIEPPE,49.932833,1.09,4.300000000000011,78.0,3.4,0.0
2026-01-01 00:00:00+00:00,OCTEVILLE,49.533,0.091667,4.5,84.0,4.4,0.0
2026-01-01 00:00:00+00:00,PONTOISE - AERO,49.090333,2.0285,-4.2999999999999545,95.0,0.8,0.0
2026-01-01 00:00:00+00:00,BEAUVAIS-TILLE,49.4465,2.127167,-2.1999999999999886,98.0,0.0,0.0
2026-01-01 00:00:00+00:00,MEAULTE,49.971833,2.703833,1.3000000000000114,100.0,3.8,0.0
2026-01-01 00:00:00+00:00,ST QUENTIN,49.818333,3.206,0.8000000000000114,100.0,4.0,0.0
2026-01-01 00:00:00+00:00,REIMS-PRUNAY,49.209833,4.155333,-2.1999999999999886,99.0,1.9,0.0
2026-01-01 00:00:00+00:00,CHARLEVILLE-MEZ,49.782833,4.643167,0.8000000000000114,94.0,1.4,0.0
2026-01-01 00:00:00+00:00,AEROPORT METZ-NANCY-LORRAINE,48.979333,6.243167,-1.0,99.0,3.9,0.0
2026-01-01 00:00:00+00:00,PLOUDALMEZEAU,48.548,-4.664167,2.400000000000034,82.0,3.3,0.0
2026-01-01 00:00:00+00:00,LANDIVISIAU,48.532,-4.151833,-1.3999999999999773,94.0,2.7,0.0
2026-01-01 00:00:00+00:00,LANVEOC,48.279333,-4.439333,1.5,92.0,2.2,0.0
2026-01-01 00:00:00+00:00,BREST-GUIPAVAS,48.45,-4.383333,-0.5999999999999659,93.0,2.4,0.0
2026-01-01 00:00:00+00:00,PLOUMANAC'H,48.825833,-3.473167,3.8000000000000114,77.0,3.9,0.0
